3ID2321|Movistar-play1|home1|Application1|all;all1|app1
3ID2322|Movistar-play2|home2|Application2|all;all2|app2
3ID2323|Movistar-play3|home3|Application3|all;all3|app3
3ID2324|Movistar-play4|home4|Application4|all;all4|app4
3ID2325|Movistar-play5|home5|Application5|all;all5|app5
3ID2326|Movistar-play6|home6|Application6|all;all6|app6
3ID2327|Movistar-play7|home7|Application7|all;all7|app7
3ID2328|Movistar-play8|home8|Application8|all;all8|app8
3ID2329|Movistar-play9|home9|Application9|all;all9|app9
3ID2320|Movistar-play0|home0|Application0|all;all0|app0
